"year","month","day","team","opp","name","throws"
"2012","August","15","Seattle Mariners","Tampa Bay Rays","Felix Hernandez","Righty"
"2012","June","13","San Francisco Giants","Houston Astros","Matt Cain","Righty"
"2012","April","21","Chicago White Sox","Seattle Mariners","Philip Humber","Righty"
"2010","May","29","Philadelphia Phillies","Florida Marlins","Roy Halladay","Righty"
"2010","May","9","Oakland Athletics","Tampa Bay Rays","Dallas Braden","Lefty"
"2009","July","23","Chicago White Sox","Tampa Bay Rays","Mark Buehrle","Lefty"
"2004","May","18","Arizona Diamondbacks","Atlanta Braves","Randy Johnson","Lefty"
"1999","July","18","New York Yankees","Montreal Expos","David Cone","Righty"
"1998","May","17","New York Yankees","Minnesota Twins","David Wells","Lefty"
"1994","July","28","Texas Rangers","California Angels","Kenny Rogers","Lefty"
"1991","July","28","Montreal Expos","Los Angeles Dodgers","Dennis Martinez","Righty"
"1988","September","16","Cincinnati Reds","Los Angeles Dodgers","Tom Browning","Lefty"
"1984","September","30","California Angels","Texas Rangers","Mike Witt","Righty"
"1981","May","15","Cleveland Indians","Toronto Blue Jays","Len Barker","Righty"
"1968","May","8","Oakland Athletics","Minnesota Twins","Catfish Hunter","Righty"
"1965","September","9","Los Angeles Dodgers","Chicago Cubs","Sandy Koufax","Lefty"
"1964","June","21","Philadelphia Phillies","New York Mets","Jim Bunning","Righty"
"1956","October","8","New York Yankees","Brooklyn Dodgers","Don Larsen","Righty"
"1922","April","30","Chicago White Sox","Detroit Tigers","Charlie Robertson","Righty"
"1908","October","2","Cleveland Indians","Chicago White Sox","Addie Joss","Righty"
"1904","May","5","Boston Americans","Philadelphia Athletics","Cy Young","Righty"
"1880","June","17","Providence Grays","Buffalo Bisons","John Ward","Righty"
"1880","June","12","Worcester Ruby Legs","Cleveland Blues","Lee Richmond","Lefty"
