Holiday,Date
New Year's Day,January 1
Inauguration Day,January 20
"Martin Luther King, Jr. Day",3rd Monday in January
George Washington's Birthday,3rd Monday in February
President's Day,3rd Monday in February
Memorial Day,Last Monday in May
Independence Day,July 4
Labor Day,1st Monday in September
Columbus Day,2nd Monday in October
Veterans Day,November 11
Thanksgiving Day,4th Thursday in November
Christmas Day,December 25
Easter,First Sunday following the full Moon that occurs on or just after the spring equinox
"Mother's Day",2nd Sunday in May
"Father's Day",March 19
Halloween,October 31
"Valentine's Day",February 14
"Saint Patrick's Day",March 17
